cluster_id,campsite_id,date,occupied_units,total_capacity,total_revenue,nights_sold
MEDITERRANEAN_SOUTH,LA_SIRENE_06,2026-07-01,390,500,43875.00,390
MEDITERRANEAN_SOUTH,LA_SIRENE_06,2026-07-15,390,500,43875.00,390
MEDITERRANEAN_SOUTH,LA_SIRENE_06,2026-07-31,390,500,43875.00,390
MEDITERRANEAN_SOUTH,LA_SIRENE_06,2025-07-01,440,500,49250.00,440
MEDITERRANEAN_SOUTH,LA_SIRENE_06,2025-07-15,440,500,49250.00,440
MEDITERRANEAN_SOUTH,LA_SIRENE_06,2025-07-31,440,500,49250.00,440
ATLANTIC_NORTH,DOLMEN_COVE_02,2026-07-01,246,300,30750.00,246
ATLANTIC_NORTH,DOLMEN_COVE_02,2026-07-15,246,300,30750.00,246
ATLANTIC_NORTH,DOLMEN_COVE_02,2026-07-31,246,300,30750.00,246
ATLANTIC_NORTH,DOLMEN_COVE_02,2025-07-01,258,300,31500.00,258
ATLANTIC_NORTH,DOLMEN_COVE_02,2025-07-15,258,300,31500.00,258
ATLANTIC_NORTH,DOLMEN_COVE_02,2025-07-31,258,300,31500.00,258
MEDITERRANEAN_SOUTH,LA_SIRENE_06,2026-08-01,410,500,47150.00,410
ATLANTIC_NORTH,DOLMEN_COVE_02,2026-08-01,255,300,32385.00,255
